ItemCode,ProductName,WidthIn,HeightIn,ColorName,ColorHex,ImageURL,BackImageURL,ImprintMethod,ImprintWidthIn,ImprintHeightIn
SDB210,SwissDigital® Boswil USB Charging Port Travel Backpack,12.5,17.5,Black,,SDB210_Black.jpg,,Embroidery,3,3
SDB210,SwissDigital® Boswil USB Charging Port Travel Backpack,12.5,17.5,Blue,,SDB210_Blue.jpg,,Embroidery,3,3
SDB210,SwissDigital® Boswil USB Charging Port Travel Backpack,12.5,17.5,Grey,,SDB210_Grey.jpg,,Embroidery,3,3
SDB210,SwissDigital® Boswil USB Charging Port Travel Backpack,12.5,17.5,Black,,SDB210_Black.jpg,,Full Color Digital,3,3
SDB210,SwissDigital® Boswil USB Charging Port Travel Backpack,12.5,17.5,Blue,,SDB210_Blue.jpg,,Full Color Digital,3,3
SDB210,SwissDigital® Boswil USB Charging Port Travel Backpack,12.5,17.5,Grey,,SDB210_Grey.jpg,,Full Color Digital,3,3
RTIC820,20 oz RTIC® Stainless Steel Vacuum Insulated Essential Tumbler,3.5,7,Black,,RTIC820_Black.jpg,,Laser Engraving,2.5,2.5
RTIC820,20 oz RTIC® Stainless Steel Vacuum Insulated Essential Tumbler,3.5,7,Navy,,RTIC820_Navy.jpg,,Laser Engraving,2.5,2.5
RTIC820,20 oz RTIC® Stainless Steel Vacuum Insulated Essential Tumbler,3.5,7,Fresh Mint,,RTIC820_Fresh Mint.jpg,,Laser Engraving,2.5,2.5
RTIC820,20 oz RTIC® Stainless Steel Vacuum Insulated Essential Tumbler,3.5,7,White,,RTIC820_White.jpg,,Laser Engraving,2.5,2.5
RTIC820,20 oz RTIC® Stainless Steel Vacuum Insulated Essential Tumbler,3.5,7,Black,,RTIC820_Black.jpg,,Full Color Digital,2.25,2.5
RTIC820,20 oz RTIC® Stainless Steel Vacuum Insulated Essential Tumbler,3.5,7,Navy,,RTIC820_Navy.jpg,,Full Color Digital,2.25,2.5
RTIC820,20 oz RTIC® Stainless Steel Vacuum Insulated Essential Tumbler,3.5,7,Fresh Mint,,RTIC820_Fresh Mint.jpg,,Full Color Digital,2.25,2.5
RTIC820,20 oz RTIC® Stainless Steel Vacuum Insulated Essential Tumbler,3.5,7,White,,RTIC820_White.jpg,,Full Color Digital,2.25,2.5
TM12ID,Premium 12 oz TiTUS® Double Wall Stainless Steel Insulated Mug,3,4,White,,TM12ID_White.jpg,,Laser Engraving,2.1,2.1
TM12ID,Premium 12 oz TiTUS® Double Wall Stainless Steel Insulated Mug,3,4,Black,,TM12ID_Black.jpg,,Laser Engraving,2.1,2.1
TM12ID,Premium 12 oz TiTUS® Double Wall Stainless Steel Insulated Mug,3,4,Navy,,TM12ID_Navy.jpg,,Laser Engraving,2.1,2.1
TM12ID,Premium 12 oz TiTUS® Double Wall Stainless Steel Insulated Mug,3,4,Pink,,TM12ID_Pink.jpg,,Laser Engraving,2.1,2.1
TM12ID,Premium 12 oz TiTUS® Double Wall Stainless Steel Insulated Mug,3,4,White,,TM12ID_White.jpg,,Full Color Digital,2,2.1
TM12ID,Premium 12 oz TiTUS® Double Wall Stainless Steel Insulated Mug,3,4,Black,,TM12ID_Black.jpg,,Full Color Digital,2,2.1
TM12ID,Premium 12 oz TiTUS® Double Wall Stainless Steel Insulated Mug,3,4,Navy,,TM12ID_Navy.jpg,,Full Color Digital,2,2.1
TM12ID,Premium 12 oz TiTUS® Double Wall Stainless Steel Insulated Mug,3,4,Pink,,TM12ID_Pink.jpg,,Full Color Digital,2,2.1
